Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Status,Queued?
STLGL157BG2R7,TF128PSIMCL7N,692,STAPP20055,NTAPPMP00045SA,GSM,New,Queued
STZEZ899VCP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,NTAPPMP00060ILD,CDMA,New,Queued
STZEZ719DGR,TF128PSIMC4N,33178,STAPP20055,STAPP20055,GSM,New,Queued
STZEZ719DGRCS,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045,GSM,New,Queued
STZEZ719DGP7,TF128PSIMCL7N,692,NTAPPMP00060ILD,NTAPPMP00045TR,GSM,New,Queued
STZEZ719DCRCS,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00045SA,CDMA,New,Queued
STSAN950U1G,TF128PSIMC4N,33178,STAPP20055,STAPP20055,GSM,New,Queued
STSAN950U1GP,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045,GSM,New,Queued
STSAN950U1GP7,TF128PSIMCL7N,692,NTAPPMP00060ILD,NTAPPMP00045TR,GSM,New,Queued
STSAN950U1CRCS,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00045SA,CDMA,New,Queued
STZEZ558VCP,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00045SA,CDMA,New,Queued
STAPIXC64SVP.2,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00045SA,CDMA,New,Queued
STAPIXG64GY,TF128PSIMC4N,33178,STAPP20055,NTAPPMP00045SA,GSM,New,Queued
