To Part,To Sim,To Status,To Carrier,To Pin,From Part,From Zip,From Pin,From Sim,From Carrier,During PIN
STLG442BGWHP5,TF128SIMT5,New,T-Mobile,NTAPPMP00060ILD,STLGL16CP,33178,NTAPPMP00045SA,,Verizon,
STLG328BGWHP5,TF128SIMT5,New,T-Mobile,NTAPPMP00045TR,STLGL21GP,33178,NTAPPMP00045,TF128PSIMC4RM,AT&T,
STZEZ291DGWHP5,TF128PSIMT5RM,New,T-Mobile,STAPPMB00040,STZEZ289GP4,33178,STAPPMB00025,TF64SIMC4,AT&T,
STZEZ291DGR4,TF128PSIMC4RM,New,AT&T,STAPPMB00040,STZEZ289GP4,33178,STAPPMB00025,TF64SIMC4,AT&T,
STZEZ291DGR4,TF128PSIMC4RM,New,AT&T,STAPPMB00040,STZEZ288C,33178,STAPPMB00025,TF256PSIMV9RM,Verizon,
STSAS935DGSVR5,TF128PSIMT5N,New,T-Mobile,NTAPPMP00045SA,STLG420GP4,33178,NTAPPMP00045TR,TF64PSIMC4,AT&T,
STSAS935DCSV,TF256PSIMV9N,New,Verizon,STAPP30035,STZEZ752C,33178,NTAPPMP000451Y,,Verizon,
STAPISEG16GYR4,TF128PSIMC4N,New,AT&T,NTAPPMP00045TR,STLGL21GP,33178,NTAPPMP00045SA,TF64PSIMC4RM,AT&T,
STAPISEC16GYWHP,TF256PSIMV9N,New,Verizon,NTPMP00060ILD,STLGL21GP,33178,STAPP30035,TF64PSIMC4RM,AT&T,
STALA571VCPWP,TF256PSIMV9RM,New,Verizon,NTAPPMP00045TR,STLGL21GP,33178,NTAPPMP00045SA,TF64PSIMC4RM,AT&T,
STALA570BGR7,TF128PSIMT5RM,New,T-Mobile,NTPMP00060ILD,STALA383GP5,33178,NTPMP00060ILD,TF64SIMT5,Verizon,
STAPI6C16GYR,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STLGL16CP,33178,NTAPPMP00045SA,,Verizon,
STAPI6PC16GYR,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STLGL16CP,33178,NTAPPMP00045,,Verizon,
STSAG930VCWHP,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STLGL16CP,33178,NTAPPMP00045SA,,Verizon,
STALA621BGWHP,TF128PSIMC4RM,New,AT&T,NTPMP00060ILD,STLGL21GP,33178,NTAPPMP00045,TF64PSIMC4RM,AT&T,
STLGL44VCPWP,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STLGL16CP,33178,NTAPPMP00045,,Verizon,
STLGL51AG,TF128PSIMC4N,New,AT&T,STAPP30035,STLGL21GP,33178,NTAPPMP00045SA,TF64PSIMC4RM,AT&T,
STLGL61AG,TF128PSIMC4N,New,AT&T,NTAPPMP000451Y,STLG420GP4,33178,NTAPPMP00045TR,TF64PSIMC4,AT&T,
STLGL62VCPWP,TF256PSIMV9N,New,Verizon,NTPMP00060ILD,STZEZ752C,33178,NTAPPMP000451Y,,Verizon,
STLGL81AGWHP,TF128PSIMC4N,New,AT&T,NTPMP00060ILD,STALA383GP5,33178,NTPMP00060ILD,TF64SIMT5,Verizon,
STLGL82VCP,TF256PSIMV9N,New,Verizon,NTPMP00060ILD,STALA383GP5,33178,NTPMP00060ILD,TF64SIMT5,Verizon,
STZEZ716BGWHP,TF128PSIMC4RM,New,AT&T,NTAPPMP00045SA,STLGL16CP,33178,STAPP30035,,Verizon,
STLGL52VCPWP,TF256PSIMV9N,New,Verizon,NTPMP00060ILD,STLGL21GP,33178,NTAPPMP00045SA,TF64PSIMC4RM,AT&T,
STLGL43AGWHP,TF128PSIMC4N,New,AT&T,NTAPPMP000451Y,STLG420GP4,33178,NTAPPMP00045TR,TF64PSIMC4,AT&T,
STLGL43AGWHP4,TF128PSIMC4N,New,AT&T,NTPMP00060ILD,STZEZ752C,33178,NTAPPMP000451Y,,Verizon,
STLG329G,TF128SIMC4,New,AT&T,STAPP30035,STALA383GP5,33178,NTPMP00060ILD,TF64SIMT5,Verizon,
STLG329GWHP5,TF64SIMT5,New,T-Mobile,NTPMP00060ILD,STALA383GP5,33178,NTPMP00060ILD,TF64SIMT5,Verizon,
STSAS906CWHP,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STZEZ753GR,33178,NTNMP00045,TF64PSIMT5RM,T-Mobile,
STSAS820CR,TF256PSIMV9RM,New,Verizon,NTAPPMP00045SA,STLGL86CP,33178,NTNMP00045,TF64PSIMC4,Verizon,
STSAS820CR,TF256PSIMV9RM,New,Verizon,NTAPPMP00045SA,STLG420GP4,33178,NTNMP00045,TF64SIMC4,AT&T,
STALA845GWHP,TF64PSIMC4,New,AT&T,NTAPPMP00060ILD,STLGL95GP5,33178,NTNMP00045,TF64PSIMT5,T-Mobile,
STZEZ752C,,REFURBISHED,AT&T,NTAPPMP00060ILD,STZEZ752C,33178,NTNMP00045,,,
STHUH882CWHP,TF128PSIMS8M,REFURBISHED,,STNS00035,STHUH882C,33178,NTAPPMP00045SA,TF128PSIMS8M,,
STSAM828CP,,New,AT&T,,STMTEX431GP4,33178,STAPP30035,TF64SIMC4,AT&T,NTPMP00060ILD
STUXU670CP,,REFURBISHED,Verizon,NTPMP00060ILD,STMTEX431GP4,33178,NTPMP00060ILD,TF64SIMC4,AT&T,
STMTXT555CP,,REFURBISHED,Sprint,NTNMP00045,STMTEX431GP4,33178,NTPMP00060ILD,TF64SIMC4,AT&T,
STIPH6SSOGSM,TF128PSIMC4N,New,AT&T,,STSAM828CP,33178,NTNMP00045,,Sprint,
STZEZ837VCRCS,TF256PSIMV9N,New,Verizon,NTAPPMP00045,STALA383GP5,33178,NTPMP00060ILD,TF64SIMT5,Verizon,
STLGL64VC,TF256PSIMV9N,New,Verizon,NTAPPMP00045TR,STALA383GP5,33178,NTPMP00060ILD,TF64SIMT5,Verizon,
STZEZ836BGRCS4,TF128PSIMC4N,New,AT&T,NTAPPMP00045SA,STZEZ753GR,33178,NTNMP00045,TF64PSIMT5RM,T-Mobile,
STZEZ836BGRCS5,TF128PSIMT5N,New,T-Mobile,NTAPPMP000451Y,STLGL86CP,33178,NTNMP00045,TF64PSIMC4,Verizon,
STZEZ836BGRCS7,TF128PSIMCL7N,New,Claro,NTAPPMP00060ILD,STLG420GP4,33178,NTNMP00045,TF64SIMC4,AT&T,
STZEZ798BGRCS4,TF128PSIMC4RM,New,AT&T,STAPP20055,STLGL95GP5,33178,NTNMP00045,TF64PSIMT5,T-Mobile,
STZEZ798BGRCS5,TF128PSIMT5RM,New,T-Mobile,STAPP30035,STMTEX431GP4,33178,NTPMP00060ILD,TF64SIMC4,AT&T,
STZEZ798BGRCS7,TF128PSIMCL7RM,New,Claro,STAPP20055,STMTEX431GP4,33178,STAPP30035,TF64SIMC4,AT&T,
STALA574BGP,TF128PSIMC4N,New,AT&T,NTPMP00060ILD,STIPH6SSOGSM,33178,NTPMP00060ILD,TF128PSIMC4N,AT&T,
STALA574BGP5,TF128PSIMT5N,New,T-Mobile,NTNMP00045,STZEZ837VCRCS,33178,NTAPPMP000451Y,TF256PSIMV9N,Verizon,
STALA574BGP7,TF128PSIMCL7N,New,Claro,NTPMP00060ILD,STLGL64VC,692,NTPMP00060ILD,TF256PSIMV9N,Verizon,
STALA576BGP,TF128PSIMC4N,New,AT&T,NTPMP00060ILD,STZEZ836BGRCS4,33178,NTPMP00060ILD,TF128PSIMC4N,AT&T,
STALA576BGP5,TF128PSIMT5N,New,T-Mobile,NTNMP00045,STZEZ836BGRCS5,33178,NTPMP00060ILD,TF128PSIMT5N,T-Mobile,
STALA576BGP7,TF128PSIMCL7N,New,Claro,NTNMP00045,STIPH6SSOGSM,692,NTAPPMP00045SA,TF128PSIMC4N,AT&T,
STSAS337TGR5,TF128PSIMT5N,New,T-Mobile,NTNMP00045,STZEZ798BGRCS4,33178,NTAPPMP00045SA,TF128PSIMC4RM,AT&T,
STSAS737TGR5,TF128PSIMT5N,New,T-Mobile,NTNMP00045,STZEZ798BGRCS5,33178,NTAPPMP00045SA,TF128PSIMT5RM,T-Mobile,
STZEZ723EGR5,TF128PSIMT5N,New,T-Mobile,STNHPAPPUNL45,STHUH226CP,33178,STNHPAPPUNL45,TF128PSIMC4RM,AT&T,
STZEZ723EC,TF256PSIMV9N,New,Verizon,STNHPAPPUNLILD60,STHUH226CP,33178,STNHPAPPUNLILD60,TF128PSIMC4RM,AT&T,
STALA577VCRCS,TF256PSIMV9N,New,Verizon,NTAPPMP00045,STZEZ837VCRCS,33178,NTAPPMP000451Y,TF256PSIMV9N,Verizon,
STLGL158VCRCS,TF256PSIMV9N,New,Verizon,NTAPPMP00045TR,STLGL64VC,33178,NTPMP00060ILD,TF256PSIMV9N,Verizon,
STLGL164VCRCS,TF256PSIMV9N,New,Verizon,NTAPPMP00045SA,STALA383GP5,33178,NTPMP00060ILD,TF64SIMT5,Verizon,
STLGL163BGRCS4,TF128PSIMC4N,New,AT&T,NTAPPMP000451Y,STZEZ836BGRCS4,33178,NTPMP00060ILD,TF128PSIMC4N,AT&T,
STLGL163BGRCS5,TF128PSIMT5N,New,T-Mobile,NTAPPMP00060ILD,STZEZ798BGRCS5,33178,NTAPPMP00045SA,TF128PSIMT5RM,T-Mobile,
STLGL163BGRCS7,TF128PSIMCL7N,New,Claro,STAPP20055,STALA576BGP7,692,NTAPPMP00045SA,TF128PSIMCL7N,Claro,
STLGL157BGRCS4,TF128PSIMC4N,New,AT&T,NTAPPMP000451Y,STIPH6SSOGSM,33178,NTAPPMP00045SA,TF128PSIMC4N,AT&T,
STLGL157BGRCS5,TF128PSIMT5N,New,T-Mobile,NTAPPMP00060ILD,STZEZ836BGRCS5,33178,NTPMP00060ILD,TF128PSIMT5N,T-Mobile,
STLGL157BGRCS7,TF128PSIMCL7N,New,Claro,STAPP20055,STALA574BGP7,692,NTPMP00060ILD,TF128PSIMCL7N,Claro,
STZEZ899VCP,TF256PSIMV9RM,New,Verizon,NTAPPMP00060ILD,STZEZ837VCRCS,33178,NTAPPMP000451Y,TF256PSIMV9N,Verizon,
STZEZ719DGP4P,TF128PSIMC4N,New,AT&T,STAPP20055,STZEZ836BGRCS4,33178,NTPMP00060ILD,TF128PSIMC4N,AT&T,
STZEZ719DGP5P,TF128PSIMT5N,New,T-Mobile,NTAPPMP000451Y,STZEZ836BGRCS5,33178,NTPMP00060ILD,TF128PSIMT5N,T-Mobile,
STZEZ719DGP7P,TF128PSIMCL7N,New,Claro,NTAPPMP00060ILD,STALA574BGP7,692,NTPMP00060ILD,TF128PSIMCL7N,Claro,
STZEZ719DCP,TF256PSIMV9N,New,Verizon,STAPP20055,STZEZ837VCRCS,33178,NTAPPMP000451Y,TF256PSIMV9N,Verizon,
STSAN950U1GP4,TF128PSIMC4N,New,AT&T,STAPP20055,STZEZ836BGRCS4,33178,NTPMP00060ILD,TF128PSIMC4N,AT&T,
STSAN950U1GP5,TF128PSIMT5N,New,T-Mobile,NTAPPMP000451Y,STZEZ836BGRCS5,33178,NTPMP00060ILD,TF128PSIMT5N,T-Mobile,
STSAN950U1GP7,TF128PSIMCL7N,New,Claro,NTAPPMP00060ILD,STALA574BGP7,692,NTPMP00060ILD,TF128PSIMCL7N,Claro,
STSAN950U1C,TF256PSIMV9N,New,Verizon,STAPP20055,STZEZ837VCRCS,33178,NTAPPMP000451Y,TF256PSIMV9N,Verizon,
STZEZ558VCWHP,TF256PSIMV9N,New,Verizon,STAPP20055,STZEZ558VCWHP,33178,STAPP20055,TF256PSIMV9N,Verizon,
STAPIXC64GYPWP.2,TF256PSIMV9N,New,Verizon,STAPP20055,STAPIXC64GYP.2,33178,STAPP20055,TF256PSIMV9N,Verizon,
STAPIXG64SVP4,TF128PSIMC4N,New,AT&T,STAPP20055,STAPIXG64SVP,33178,STAPP20055,TF128PSIMC4N,AT&T,
