Part Number,SIM,Zip Code,PIN,Status,Cell Tech
STZEZ723EGP,TF128PSIMT5N,33178,STNHPAPPUNL45,New,GSM
STZEZ723ECP,TF256PSIMV9N,33178,STNHPAPPUNLILD60,New,CDMA
STALA577VCP,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA
STLGL158VCP,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA
STLGL164VCP,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA
STLGL163BGP4,TF128PSIMC4N,33178,NTAPPMP000451Y,New,GSM
STLGL163BGP5,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM
STLGL163BGP7,TF128PSIMCL7N,692,STAPP20055,New,GSM
STLGL157BGP4,TF128PSIMC4N,33178,NTAPPMP000451Y,New,GSM
STLGL157BGP5,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM
STLGL157BGP7,TF128PSIMCL7N,692,STAPP20055,New,GSM
STZEZ899VCP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA
STZEZ719DGP4P,TF128PSIMC4N,33178,STAPP20055,New,GSM
STZEZ719DGP5P,TF128PSIMT5N,33178,NTAPPMP000451Y,New,GSM
STZEZ719DGP7P,TF128PSIMCL7N,692,NTAPPMP00060ILD,New,GSM
STZEZ719DCP,TF256PSIMV9N,33178,STAPP20055,New,CDMA
STSAN950U1GP4P,TF128PSIMC4N,33178,STAPP20055,New,GSM
STSAN950U1GP5P,TF128PSIMT5N,33178,NTAPPMP000451Y,New,GSM
STSAN950U1GP7P,TF128PSIMCL7N,692,NTAPPMP00060ILD,New,GSM
STSAN950U1CP,TF256PSIMV9N,33178,STAPP20055,New,CDMA
STZEZ558VC,TF256PSIMV9N,33178,STAPP20055,New,CDMA
STAPIXC64SVPWP.2,TF256PSIMV9N,33178,STAPP20055,New,CDMA
STAPIXG64SVR,TF128PSIMC4N,33178,STAPP20055,New,GSM
