ESN,SIM,PIN,Card Type,Status,Cell Tech,Plan,ZIP,Reoccuring?
STSAS737TGP5,TF128PSIMT5N,NTAPPMP00060ILD,Visa,New,GSM,$45 Unlimited Plan,33178,One-Time
STZEZ723EGP5,TF128PSIMT5N,STNHPAPPUNL45,Discover,New,GSM,Home Unlimited,33178,Reoccuring
STZEZ723EC,TF256PSIMV9N,STNHPAPPUNLILD60,Discover,New,CDMA,Home Unlimited,33178,One-Time
STZEZ899VC2R,TF256PSIMV9RM,NTAPPMP00060ILD,Visa,New,CDMA,$255 Unlimited Plan,33178,One-Time
STZEZ719DGWHP4,TF128PSIMC4N,STAPP20055,Discover,New,GSM,$55 Unlimited Plan,33178,Reoccuring
STZEZ719DGWHP5,TF128PSIMT5N,NTAPPMP00060ILD,Visa,New,GSM,$45 Unlimited Plan,33178,One-Time
STZEZ719DGWHP7,TF128PSIMCL7N,STNHPAPPUNL45,Discover,New,GSM,Home Unlimited,692,Reoccuring
STZEZ719DCR,TF256PSIMV9N,STNHPAPPUNLILD60,Discover,New,CDMA,Home Unlimited,33178,One-Time
STSAN950U1GP4,TF128PSIMC4N,STAPP20055,Discover,New,GSM,$55 Unlimited Plan,33178,Reoccuring
STSAN950U1GP5,TF128PSIMT5N,NTAPPMP00060ILD,Visa,New,GSM,$45 Unlimited Plan,33178,One-Time
STSAN950U1GP7,TF128PSIMCL7N,STNHPAPPUNL45,Discover,New,GSM,Home Unlimited,692,Reoccuring
STSAN950U1C,TF256PSIMV9N,STNHPAPPUNLILD60,Discover,New,CDMA,Home Unlimited,33178,One-Time
STZEZ558VCWHP,TF256PSIMV9N,NTAPPMP00060ILD,Visa,New,CDMA,$45 Unlimited Plan,33178,One-Time
STAPIXC64GYPWP.2,TF256PSIMV9N,NTAPPMP00060ILD,Visa,New,CDMA,$45 Unlimited Plan,33178,One-Time
STAPIXG64SVP4,TF128PSIMC4N,NTAPPMP00060ILD,Visa,New,GSM,$45 Unlimited Plan,33178,One-Time
