Part Number,SIM,Zip Code,Status,Cell Tech,Plan,Reoccuring?,Card Type
STLGL51AGWHP4,TF128PSIMC4N,33178,New,GSM,Unlimited International Plan,Reoccuring,Visa
STLGL44VCR,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Discover
STLG329GP5P,TF64SIMT5,33178,New,GSM,All You Need Plan,Reoccuring,American Express
STLGL43AGP4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,One-Time,Visa
STLGL52VCRCS,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,Reoccuring,Discover
STZEZ716BGRCS,TF128PSIMC4RM,33178,New,GSM,Unlimited Plan,One-Time,Visa
STZEZ716BGRCS4,TF128PSIMC4RM,33178,New,GSM,Unlimited International Plan,One-Time,Visa
STAPI6SPC16GDX,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,One-Time,Visa
PHST128PSIMC4ND,TF128PSIMC4ND,33178,New,GSM,BYOT 5 GB,One-Time,Visa
STSAS978CWTP,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,One-Time,Visa
STSAS820CP,TF256PSIMV9RM,33178,New,CDMA,Unlimited Plan,One-Time,Visa
ST256PBYOPD,TF256PSIMV9DD,33178,New,CDMA,Unlimited International Plan,One-Time,Discover
STZEZ932CPWP,TF256PSIMV9RM,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STALA995GR4,TF64PSIMC4RM,33178,New,GSM,Unlimited Plan,One-Time,Visa
STREAX54NC,,33178,New,CDMA,Remote Alert Monthly Plan,One-Time,Visa
STSAS890GP4,TF64PSIMC4RM,33178,New,GSM,Unlimited Plan,One-Time,Visa
STIPH6SPSOGSM,TF128PSIMC4N,33178,New,CDMA,Unlimited Plan,Reoccuring,Discover
STIPH6SPSOCDMA,TF256PSIMV9N,33178,New,CDMA,Unlimited International Plan,Reoccuring,Discover
STIPH6SPSOCDMA,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STZEZ288CP,TF256PSIMV9,33178,New,CDMA,Hotspot 5 GB,One-Time,Discover
STHUH350,TF128SIMC4,33178,New,GSM,$30 Home Center,Reoccuring,Discover
STHUH226CP,,33178,New,CDMA,Home Unlimited,One-Time,Discover
PHST128PSIMT5NBT,TF128PSIMT5ND,33178,New,GSM,BYOT 1 GB,Reoccuring,Visa
STZEZ819CP,TF256PSIMV9RM,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STZEZ837VCP,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,One-Time,Discover
STLGL64VCP,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STZEZ836BGP4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STZEZ836BGP5,TF128PSIMT5N,33178,New,GSM,Unlimited Plan,One-Time,Discover
STZEZ836BGP7,TF128PSIMCL7N,692,New,GSM,Unlimited Plan,Reoccuring,Visa
STZEZ798BGP4,TF128PSIMC4RM,33178,New,GSM,Unlimited Plan,One-Time,Discover
STZEZ798BGP5,TF128PSIMT5RM,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STZEZ798BGP7,TF128PSIMCL7RM,692,New,GSM,Unlimited Plan,Reoccuring,Visa
STALA574BGWHP4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,One-Time,Discover
STALA574BGWHP5,TF128PSIMT5N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STALA574BGWHP7,TF128PSIMCL7N,692,New,GSM,Unlimited Plan,Reoccuring,Visa
STALA576BGWHP4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,One-Time,Discover
STALA576BGWHP5,TF128PSIMT5N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STALA576BGWHP7,TF128PSIMCL7N,692,New,GSM,Unlimited Plan,Reoccuring,Visa
STSAS337TGP5,TF128PSIMT5N,33178,New,GSM,Unlimited Plan,One-Time,Discover
STSAS737TGP5,TF128PSIMT5N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STZEZ723EGP5,TF128PSIMT5N,33178,New,GSM,Home Unlimited,Reoccuring,Visa
STZEZ723ECPWP,TF256PSIMV9N,33178,New,CDMA,Home Unlimited,Reoccuring,Visa
STALA577VCPWP,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STLGL158VCPWP,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STLGL164VCPWP,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,One-Time,Discover
STLGL163BGP4P,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STLGL163BGP5P,TF128PSIMT5N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STLGL163BGP7P,TF128PSIMCL7N,692,New,GSM,Unlimited Plan,One-Time,Discover
STLGL157BGP4P,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STLGL157BGP5P,TF128PSIMT5N,33178,New,GSM,Home Unlimited Plan,Reoccuring,Visa
STLGL157BGP7P,TF128PSIMCL7N,692,New,GSM,Home Unlimited Plan,Reoccuring,Visa
STZEZ899VCPWP,TF256PSIMV9RM,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STZEZ719DGWHP4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,One-Time,Discover
STZEZ719DGWHP5,TF128PSIMT5N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STZEZ719DGWHP7,TF128PSIMCL7N,692,New,GSM,Home Unlimited Plan,Reoccuring,Visa
STZEZ719DCPWP,TF256PSIMV9N,33178,New,CDMA,Home Unlimited Plan,Reoccuring,Visa
STSAN950U1GWHP4,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,One-Time,Discover
STSAN950U1GWHP5,TF128PSIMT5N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
STSAN950U1GWHP7,TF128PSIMCL7N,692,New,GSM,Home Unlimited Plan,Reoccuring,Visa
STSAN950U1CPWP,TF256PSIMV9N,33178,New,CDMA,Home Unlimited Plan,Reoccuring,Visa
STZEZ558VC,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STAPIXC64SVPWP.2,TF256PSIMV9N,33178,New,CDMA,Unlimited Plan,Reoccuring,Visa
STAPIXG64SVR,TF128PSIMC4N,33178,New,GSM,Unlimited Plan,Reoccuring,Visa
