Part Number,SIM,Zip Code,PIN,Status,Cell Tech,CardType
STZEZ836BGR7,TF128PSIMCL7N,33178,STAPP20055,Past Due,GSM,Visa
STZEZ798BGR5,TF128PSIMT5RM,33178,NTAPPMP00060ILD,New,GSM,Visa
STALA574BGP4,TF128PSIMC4N,33178,NTNMP00045,New,GSM,Visa
STALA574BGP5,TF128PSIMT5N,33178,STAPP20055,New,GSM,Visa
STALA574BGP7,TF128PSIMCL7N,692,STAPP01500,New,GSM,Visa
STALA576BGP4,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,Visa
STALA576BGP5,TF128PSIMT5N,33178,NTAPPMP00045TR,New,GSM,Visa
STALA576BGP7,TF128PSIMCL7N,692,NTAPPMP00045SA,New,GSM,Visa
STSAS337TG,TF128PSIMT5N,33178,STAPP20055,New,GSM,Visa
STSAS737TG,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM,Visa
STZEZ723EG,TF128PSIMT5N,33178,STNHPAPPUNL45,New,GSM,Visa
STZEZ723EC,TF256PSIMV9N,33178,STNHPAPPUNLILD60,New,CDMA,Visa
STALA577VC,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,Visa
STLGL158VC,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA,Visa
STLGL164VC,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA,Visa
STLGL163BG,TF128PSIMC4N,33178,NTAPPMP000451Y,New,GSM,Visa
STLGL163BGP,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM,Visa
STLGL163BGP7,TF128PSIMCL7N,692,STAPP20055,New,GSM,Visa
STLGL157BG,TF128PSIMC4N,33178,NTAPPMP000451Y,New,GSM,Visa
STLGL157BGP,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM,Visa
STLGL157BGP7,TF128PSIMCL7N,692,STAPP20055,New,GSM,Visa
STZEZ899VC,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,Visa
STZEZ719DGP4,TF128PSIMC4N,33178,STAPP20055,New,GSM,Visa
STZEZ719DGP5,TF128PSIMT5N,33178,NTAPPMP000451Y,New,GSM,Visa
STZEZ719DGP7,TF128PSIMCL7N,692,NTAPPMP00060ILD,New,GSM,Visa
STZEZ719DC,TF256PSIMV9N,33178,STAPP20055,New,CDMA,Visa
STSAN950U1GP4,TF128PSIMC4N,33178,STAPP20055,New,GSM,Visa
STSAN950U1GP5,TF128PSIMT5N,33178,NTAPPMP000451Y,New,GSM,Visa
STSAN950U1GP7,TF128PSIMCL7N,692,NTAPPMP00060ILD,New,GSM,Visa
STSAN950U1C,TF256PSIMV9N,33178,STAPP20055,New,CDMA,Visa
