Part Number,Zip Code,SIM,Status,Plan,Provider
STSAS737TGP5,33178,TF128PSIMT5N,New,Unlimited Plan,AT&T
STZEZ723EGRCS5,33178,TF128PSIMT5N,New,Home Unlimited,AT&T
STZEZ723EC,33178,TF256PSIMV9N,New,Home Unlimited,AT&T
STZEZ899VCP,33178,TF256PSIMV9RM,New,Unlimited Plan,AT&T
STZEZ719DGP4,33178,TF128PSIMC4N,New,Unlimited Plan,AT&T
STZEZ719DGP5,33178,TF128PSIMT5N,New,Unlimited Plan,AT&T
STZEZ719DGP7,692,TF128PSIMCL7N,New,Home Unlimited,AT&T
STZEZ719DC,33178,TF256PSIMV9N,New,Home Unlimited,AT&T
STSAN950U1GWHP4,33178,TF128PSIMC4N,New,Unlimited Plan,AT&T
STSAN950U1GWHP5,33178,TF128PSIMT5N,New,Unlimited Plan,AT&T
STSAN950U1GWHP7,692,TF128PSIMCL7N,New,Home Unlimited,AT&T
STSAN950U1CWHP,33178,TF256PSIMV9N,New,Home Unlimited,AT&T
STZEZ558VCRCS,33178,TF256PSIMV9N,New,Unlimited Plan,AT&T
STAPIXC64SVPWP.2,33178,TF256PSIMV9N,New,Unlimited Plan,AT&T
STAPIXG64GYP,33178,TF128PSIMC4N,New,Unlimited Plan,VERIZON
