Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Status
STLGL157BGRCS7,TF128PSIMCL7N,692,STAPP20055,NTAPPMP00045SA,GSM,New
STZEZ899VCR,TF256PSIMV9RM,33178,NTAPPMP00060ILD,NTAPPMP00060ILD,CDMA,New
STZEZ719DGWHP4,TF128PSIMC4N,33178,STAPP20055,STAPP20055,GSM,New
STZEZ719DGWHP5,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP000451Y,GSM,New
STZEZ719DGWHP7,TF128PSIMCL7N,692,NTAPPMP00060ILD,NTAPPMP00060ILD,GSM,New
STZEZ719DCR,TF256PSIMV9N,33178,STAPP20055,STAPP20055,CDMA,New
STSAN950U1GRCS4,TF128PSIMC4N,33178,STAPP20055,STAPP20055,GSM,New
STSAN950U1GRCS5,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP000451Y,GSM,New
STSAN950U1GRCS7,TF128PSIMCL7N,692,NTAPPMP00060ILD,NTAPPMP00060ILD,GSM,New
STSAN950U1CRCS,TF256PSIMV9N,33178,STAPP20055,STAPP20055,CDMA,New
STZEZ558VCRCS,TF256PSIMV9N,33178,STAPP20055,STAPP20055,CDMA,New
STAPIXC64SVPWP.2,TF256PSIMV9N,33178,STAPP20055,STAPP20055,CDMA,New
STAPIXG64GYP,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP000451Y,GSM,New
