Esn,Sim Number,Zip Code,Pin Card,Pin Card 2,Cell Tech,Status,Queued?
STZEZ836BGP7P,TF128PSIMCL7N,33178,STAPP30035,NTAPPMP00045SA,GSM,New,Now
STZEZ798BGP4P,TF128PSIMC4RM,33178,STAPP20055,STAPP30035,GSM,New,Now
STZEZ798BGP5P,TF128PSIMT5RM,33178,NTAPPMP00045,NTAPPMP00060ILD,GSM,New,Now
STZEZ798BGP7P,TF128PSIMCL7RM,33178,NTAPPMP00045TR,STAPP20055,GSM,New,Now
STALA574BGR4,TF128PSIMC4N,33178,NTPMP00060ILD,NTAPPMP00045,GSM,New,Now
STALA574BGR5,TF128PSIMT5N,33178,STNHP00015,STNHP00015,GSM,New,Queued
STALA574BGR7,TF128PSIMCL7N,692,NTAPPMP00045,NTAPPMP00060ILD,GSM,New,Now
STALA576BGR4,TF128PSIMC4N,33178,NTAPPMP00045TR,STAPP20055,GSM,New,Now
STALA576BGR5,TF128PSIMT5N,33178,NTAPPMP00045SA,NTAPPMP00045,GSM,New,Now
STALA576BGR7,TF128PSIMCL7N,692,NTAPPMP000451Y,NTAPPMP00045TR,GSM,New,Now
STSAS337TGP5P,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00045SA,GSM,New,Now
STSAS737TGP5P,TF128PSIMT5N,33178,STAPP20055,NTAPPMP000451Y,GSM,New,Now
STZEZ723EGP5P,TF128PSIMT5N,33178,STNHPAPPUNL45,STNHPAPPUNL45,GSM,New,Now
STZEZ723ECWHP,TF256PSIMV9N,33178,STNHPAPPUNL45,STNHPAPPUNLILD60,CDMA,New,Now
STALA577VCR,TF256PSIMV9N,33178,NTAPPMP00045,NTAPPMP000451Y,CDMA,New,Now
STLGL158VCR,TF256PSIMV9N,33178,NTAPPMP00045TR,NTAPPMP00060ILD,CDMA,New,Now
STLGL164VCR,TF256PSIMV9N,33178,NTAPPMP00045SA,STAPP20055,CDMA,New,Now
STLGL163BGP4P,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP000451Y,GSM,New,Now
STLGL163BGP5P,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00060ILD,GSM,New,Now
STLGL163BGP7P,TF128PSIMCL7N,692,STAPP20055,STAPP20055,GSM,New,Now
STLGL157BGP4P,TF128PSIMC4N,33178,NTAPPMP000451Y,NTAPPMP00045,GSM,New,Now
STLGL157BGP5P,TF128PSIMT5N,33178,NTAPPMP00060ILD,NTAPPMP00045TR,GSM,New,Now
STLGL157BGP7P,TF128PSIMCL7N,692,STAPP20055,NTAPPMP00045SA,GSM,New,Now
STZEZ899VCWHP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,NTAPPMP00060ILD,CDMA,New,Now
STZEZ719DGR4,TF128PSIMC4N,33178,STAPP20055,STAPP20055,GSM,New,Now
STZEZ719DGR5,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045,GSM,New,Now
STZEZ719DGR7,TF128PSIMCL7N,692,NTAPPMP00060ILD,NTAPPMP00045TR,GSM,New,Now
STZEZ719DCWHP,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00045SA,CDMA,New,Now
STSAN950U1GR4,TF128PSIMC4N,33178,STAPP20055,STAPP20055,GSM,New,Now
STSAN950U1GR5,TF128PSIMT5N,33178,NTAPPMP000451Y,NTAPPMP00045,GSM,New,Now
STSAN950U1GR7,TF128PSIMCL7N,692,NTAPPMP00060ILD,NTAPPMP00045TR,GSM,New,Now
STSAN950U1CWHP,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00045SA,CDMA,New,Now
STZEZ558VC,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00045SA,New,CDMA,Now
STAPIXC64SVPWP.2,TF256PSIMV9N,33178,STAPP20055,NTAPPMP00045SA,New,CDMA,Now
STAPIXG64SVR,TF128PSIMC4N,33178,STAPP20055,NTAPPMP00045SA,New,GSM,Now
