From Part,Form SIM,From PIN,From Tech,Zip,# Devices,Child,ChildSim,Upgrade For?,Brand,To Status,To Part,To SIM,To Tech,To PIN,Min Transfer,Type
STLGL82VCWHP,TF256PSIMV9N,NTAPPMP00045,CDMA,33178,,,,,STRAIGHT_TALK,New,STAPI8G64SVR4,TF128PSIMC4N,GSM,NTAPPMP000451Y,Yes,
STLGL53BGWHP4,TF128PSIMC4N,NTAPPMP00045,GSM,33178,,,,,STRAIGHT_TALK,New,STAPI8C64GD,TF256PSIMV9N,CDMA,,Yes,
STZEZ861BGR5,TF128PSIMT5N,NTAPPMP00060ILD,GSM,33178,,,,,STRAIGHT_TALK,New,STAPI8PG64SV2R4,TF128PSIMC4N,GSM,,Yes,
STZEZ861BGR5,TF128PSIMT5N,NTAPPMP00060ILD,GSM,33178,,,,,STRAIGHT_TALK,New,STAPI8PC64GDP.2,TF256PSIMV9N,CDMA,STAPP20055,Yes,
STZEZ557BGR7,TF128PSIMC4N,NTAPPMP00060ILD,GSM,33178,,,,,STRAIGHT_TALK,New,STZEZ557BG2R4,TF128PSIMC4N,GSM,NTAPPMP00060ILD,Yes,
STZEZ557BGP4P,TF128PSIMC4N,NTAPPMP00060ILD,GSM,33178,,,,,STRAIGHT_TALK,New,STZEZ557BG,TF128PSIMC4N,GSM,NTAPPMP00060ILD,Yes,
STLGL82VCWHP,TF256PSIMV9N,NTAPPMP00045,CDMA,33178,,,,,STRAIGHT_TALK,New,STLML413DGWHP4,TF128PSIMC4N,GSM,,Yes,
STLGL53BGWHP4,TF128PSIMC4N,NTAPPMP00045,GSM,33178,,,,,STRAIGHT_TALK,New,STLML413DC2R,TF256PSIMV9N,CDMA,STAPP20055,Yes,
TCLGL53BGP5SP,TF128PSIMT5N,TCAPP00055ILD,GSM,33178,,,,,TELCEL,New,PHTC128PSIMT5TDP,TF128PSIMT5TD,GSM,,Yes,
TCHUH715BGP5AS,TF128PSIMT5N,TCAPP00045ILD,GSM,33178,,,,,TELCEL,New,PHTC128PSIMT5TDP,TF128PSIMT5TD,GSM,,Yes,
PHNT128PSIMT5TDP,TF128PSIMT5TD,NTAPPU0065ILD,GSM,33178,,,,,NET10,New,PHNT128PSIMT5TDP,TF128PSIMT5TD,GSM,,Yes,
NTLG306GP4SOP,TF64SIMT5,NTAPP6U060,GSM,33178,,,,,NET10,Active,NTLGL22CPTGP,,CDMA,NTAPP6U060,Yes,
NTAPI6SPC16GYP,TF256PSIMV9N,NTAPPU0065ILD,CDMA,33178,,,,,NET10,New,NTZEZ836BGP5DU,TF128PSIMT5N,GSM,,Yes,
NTZEZ667GP4DG,TF64PSIMC4RM,NTAPP6U035,GSM,33178,,,,,NET10,New,NTZEZ837VC2R,TF256PSIMV9N,CDMA,,Yes,
NTZEZ667GP4DG,TF64PSIMC4RM,NTAPP6U035,GSM,33178,,,,,NET10,New,NTZEZ798BGRCS4,TF128PSIMT5RM,GSM,,Yes,
TFZEZ610DGKP4,TF128PSIMC4N,TFSAPP1SPH500,GSM,33178,,,,,TRACFONE,New,TFZEZ610DGKP5,TF128PSIMC4N,GSM,,Yes,
TFZEZ610DCPAP5,TF256PSIMV9N,TFSAPP1SPH500,CDMA,33178,,,,,TRACFONE,New,TFZEZ610DC3PWP,TF256PSIMV9N,CDMA,,Yes,
TFALA383GDG,TF64SIMC4,TSAPP40120,GSM,33178,,,,,TRACFONE,New,PHTF128PSIMT5DD,TF128PSIMT5DD,GSM,,Yes,
TFALA383GDG,TF64SIMC4,TSAPP40120,GSM,33178,,,,,TRACFONE,New,TFALA570BGP4-5,TF128PSIMC4RM,GSM,,Yes,
TFLGL44VCPDG,TF256PSIMV9N,TFSAPP1SPH500,CDMA,33178,,,,,TRACFONE,New,TFZEZ899VCP-5,TF256PSIMV9RM,CDMA,,Yes,
TFALA574BGP4SP,TF128PSIMC4N,TFSAPP1SPH500,GSM,33178,,,,,TRACFONE,New,TFZEZ719DGDG,TF128PSIMC4N,GSM,,Yes,
TFLGL44VCPDG,TF256PSIMV9N,TFSAPP1SPH750,CDMA,33178,,,,,TRACFONE,New,TFZEZ719DCPAP7,TF256PSIMV9N,CDMA,,Yes,
TFZEZ558VC3PWP,TF256PSIMV9N,TFSAPP1SPH750,GSM,33178,,,,,TRACFONE,New,TFZEZ719DCPAP7,TF256PSIMV9N,CDMA,,Yes,
TFALA574BGP4SP,TF128PSIMC4N,TFSAPP1SPH500,GSM,33178,,,,,TRACFONE,New,TFLML413DGP4P,TF128PSIMC4N,GSM,,Yes,
TFLGL44VCPDG,TF256PSIMV9N,TFSAPP1SPH750,CDMA,33178,,,,,TRACFONE,New,TFLML413DCRCS,TF256PSIMV9N,CDMA,,Yes,
WFMLGL57BGP,WFM128PSIMT5TM,WFMAPPU0039,GSM,33178,,,,,WFM,New,PHWFM128PSIMT5TD,WFM128PSIMT5TD,GSM,,Yes,
WFMZEZ557BG,WA128PSIMT5N,WFMAPPU0039,GSM,33178,,,,,WFM,New,WFMZEZ557BGWHP,WA128PSIMT5N,GSM,WFMAPPU0039,Yes,
WFMZEZ557BGP,WA128PSIMT5N,WFMAPPU0039,GSM,33178,,,,,WFM,New,WFMZEZ557BGWHP5,WA128PSIMT5N,GSM,WFMAPPU0039,Yes,
WFMSAG900T3GR,WA128PSIMT5N,WFMAPPU0029,GSM,33178,,,,,WFM,New,WFMSAG900T3GR5,WA128PSIMT5N,GSM,,Yes,
WFMAPI8G64GDR,WA128PSIMT5N,WFMAPPU0029,GSM,33178,,,,,WFM,New,WFMAPI8G64GDR5,WA128PSIMT5N,GSM,,Yes,
WFMAPI8PG64SVP5P,WA128PSIMT5N,WFMAPPU0029,GSM,33178,,,,,WFM,New,WFMAPI8PG64SVR,WA128PSIMT5N,GSM,,Yes,
WFMLML413DGRCS5,WA128PSIMT5N,WFMAPPU0029,GSM,33178,,,,,WFM,New,WFMLML413DGRCS,WA128PSIMT5N,GSM,,Yes,
WFMSAG965U1GP,WA128PSIMT5N,WFMAPPU0029,GSM,33178,,,,,WFM,New,WFMSAG965U1GP5,WA128PSIMT5N,GSM,,Yes,
WFMSAG960U1GP,WA128PSIMT5N,WFMAPPU0029,GSM,33178,,,,,WFM,New,WFMSAG960U1GWHP,WA128PSIMT5N,GSM,,Yes,
WFMZEZ610DGP,WA128PSIMT5N,WFMAPPU0029,GSM,33178,,,,,WFM,New,WFMZEZ610DGR,WA128PSIMT5N,GSM,,Yes,
