Brand,PartNumber,SIM,PIN,PaymentType,#  of Childs,Child_Esn_1,Child_Sim_1,Child_Esn_2,Child_Sim_2,Child_Esn_3,Child_Sim_3,CardType,Cvv
WFM,WFMSAG960U1GP,WA128PSIMT5N,WFMAPPU0039,Reoccuring,1,WFMSAG960U1GP,WA128PSIMT5N,,,,,Visa,123
WFM,WFMSAG960U1GP5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,1,WFMSAG960U1GP5,WA128PSIMT5N,,,,,ACH,
WFM,WFMSAG960U1GP5P,WA128PSIMT5N,WFMAPPU0039,,2,WFMSAG960U1GP5P,WA128PSIMT5N,WFMSAG960U1GP5P,WA128PSIMT5N,,,Visa,123
WFM,WFMSAG960U1GWHP,WA128PSIMT5N,WFMAPPU0049,Reoccuring,2,WFMSAG960U1GWHP,WA128PSIMT5N,WFMSAG960U1GWHP,WA128PSIMT5N,,,American Express,1234
WFM,WFMSAG960U1GWHP5,WA128PSIMT5N,WFMAPPU0024,Reoccuring,2,WFMSAG960U1GWHP5,WA128PSIMT5N,WFMSAG960U1GWHP5,WA128PSIMT5N,,,Discover,123
WFM,WFMSAG960U1GR,WA128PSIMT5N,WFMAPPU0024,Reoccuring,2,WFMSAG960U1GR,WA128PSIMT5N,WFMSAG960U1GR,WA128PSIMT5N,,,Discover,123
WFM,WFMSAG960U1GR5,WA128PSIMT5N,WFMAPPU0039,Reoccuring,3,WFMSAG960U1GR5,WA128PSIMT5N,WFMSAG960U1GR5,WA128PSIMT5N,WFMSAG960U1GR5,WA128PSIMT5N,Visa,123
WFM,WFMSAG960U1GRCS,WA128PSIMT5N,WFMAPPU0039,Reoccuring,1,WFMSAG960U1GRCS,WA128PSIMT5N,,,,,ACH,
WFM,WFMSAG960U1GRCS5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,1,WFMSAG960U1GRCS5,WA128PSIMT5N,,,,,Visa,123
WFM,WFMZEZ610DGP,WA128PSIMT5N,WFMAPPU0029,Reoccuring,1,WFMZEZ610DGP,WA128PSIMT5N,,,,,ACH,
WFM,WFMZEZ610DGP5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMZEZ610DGP5,WA128PSIMT5N,WFMZEZ610DGP5,WA128PSIMT5N,,,Visa,123
WFM,WFMZEZ610DGP5P,WA128PSIMT5N,WFMAPPU0029,,2,WFMZEZ610DGP5P,WA128PSIMT5N,WFMZEZ610DGP5P,WA128PSIMT5N,,,American Express,1234
WFM,WFMZEZ610DGWHP,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMZEZ610DGWHP,WA128PSIMT5N,WFMZEZ610DGWHP,WA128PSIMT5N,,,Discover,123
WFM,WFMZEZ610DGWHP5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMZEZ610DGWHP5,WA128PSIMT5N,WFMZEZ610DGWHP5,WA128PSIMT5N,,,Discover,123
WFM,WFMZEZ610DGR,WA128PSIMT5N,WFMAPPU0029,Reoccuring,3,WFMZEZ610DGR,WA128PSIMT5N,WFMZEZ610DGR,WA128PSIMT5N,WFMZEZ610DGR,WA128PSIMT5N,Visa,123
WFM,WFMZEZ610DGR5,WA128PSIMT5N,WFMAPPU0039,,2,WFMZEZ610DGR5,WA128PSIMT5N,WFMZEZ610DGR5,WA128PSIMT5N,,,ACH,
WFM,WFMZEZ610DGRCS,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMZEZ610DGRCS,WA128PSIMT5N,WFMZEZ610DGRCS,WA128PSIMT5N,,,Visa,123
WFM,WFMZEZ610DGRCS5,WA128PSIMT5N,WFMAPPU0039,Reoccuring,2,WFMZEZ610DGRCS5,WA128PSIMT5N,WFMZEZ610DGRCS5,WA128PSIMT5N,,,ACH,
SIMPLE_MOBILE,PHSM64PSIMT5BLC,SM64PSIMT5B,SMNAPP30060,Reoccuring,2,SMZEZ557BGP5ET5,SM128PSIMT5N,SMZEZ557BGP5ET5,SM128PSIMT5N,SMZEZ557BGP5ET5,SM128PSIMT5N,Visa,123
SIMPLE_MOBILE,PHSM64PSIMT5BLC,SM64PSIMT5B,SMNAPP30060,Reoccuring,2,SMZEZ557BGP5ET5,SM128PSIMT5N,SMZEZ557BGP5ET5,SM128PSIMT5N,SMZEZ557BGP5ET5,SM128PSIMT5N,Visa,123
SIMPLE_MOBILE,SMAPI8G64GYR,SM128PSIMT5N,SMNAPP20050ILDUP,,1,SMZEZ861BGRCS5,SM128PSIMT5N,,,,,Visa,123
SIMPLE_MOBILE,SMZEZ861BGRCS5,SM128PSIMT5N,SMNAPP0050BBUNL,,3,SMZEZ557BGR,SM128PSIMT5N,SMZEZ557BGR,SM128PSIMT5N,SMZEZ718TGP5P,SM128PSIMT5RM,Discover,123
SIMPLE_MOBILE,SMZEZ291DGDG,SM128PSIMT5RM,SMNAPP0025TT,Reoccuring,4,SMZEZ557BGP5ET5,SM128PSIMT5N,SMZEZ718TGP5P,SM128PSIMT5RM,SMZEZ718TGP5P,SM128PSIMT5RM,Visa,123
SIMPLE_MOBILE,SMAPI7PG32SVP5,SM128PSIMT5N,SMNAPP40030ILD,,2,PHSM64PSIMT5BLC,SM64PSIMT5B,SMZEZ557BGR,SM128PSIMT5N,,,Visa,123
SIMPLE_MOBILE,SMZEZ828TG3P5,SM128PSIMT5N,SMNAPP20070ILDUP,Reoccuring,4,SMZEZ557BGR,SM128PSIMT5N,PHSM64PSIMT5BLC,SM64PSIMT5B,PHSM64PSIMT5BLC,SM64PSIMT5B,American Express,1234
