Brand,Status,PartNumber,SIM,ZipCode,Option,Reason,Service Days,Cell Tech
STRAIGHT_TALK,New,STLML413DCWHP,TF256PSIMV9N,33178,Reference Esn,Activation/Reactivation Failure,15,CDMA
STRAIGHT_TALK,New,STSAG965U1GP,TF128PSIMC4N,33178,Supervisor Approval,Redemption Failure,20,GSM
STRAIGHT_TALK,New,STSAG965U1CRCS,TF256PSIMV9N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,10,CDMA
STRAIGHT_TALK,New,STSAG960U1GR,TF128PSIMC4N,33178,Supervisor Approval,Redemption Failure,10,GSM
STRAIGHT_TALK,New,STSAG960U1CR,TF256PSIMV9N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,CDMA
STRAIGHT_TALK,New,STZEZ610DGWHP4,TF128PSIMC4N,33178,Reference Esn,Upgrade Failure,20,GSM
STRAIGHT_TALK,New,STZEZ610DCPWP,TF256PSIMV9N,33178,Reference Esn,Activation/Reactivation Failure,15,CDMA
NET10,New,NTSAS720C,,33178,Supervisor Approval,Port Request Cancellation (Requested a Port and is now requesting a new number),15,CDMA
NET10,New,NTALA572BGU,TF128PSIMC4RM,33178,Reference Esn,Redemption Failure,25,GSM
NET10,New,NTALA572BGU,TF128PSIMT5RM,33178,Supervisor Approval,Upgrade Failure,25,GSM
NET10,New,NTSAS720C,,33178,Reference Esn,PIN Redeemed to Wrong Handset,1,CDMA
TRACFONE,New,TFLG236CWHP,,33178,Reference Esn,Port Request(Active with new number and now requesting a Port),15,CDMA
TRACFONE,New,TFLGL21GR4,TF128PSIMC4RM,33178,Supervisor Approval,Redemption Failure,15,GSM
TRACFONE,New,TFZEZ791GP4DG,TF128PSIMC4RM,33178,Reference Esn,Retailer Exchange,15,GSM
TRACFONE,New,TFSAS902CPDG,TF256PSIMV9RM,33178,Supervisor Approval,Warehouse exchange - Past due,20,CDMA
TRACFONE,New,TFLGL21GR4,TF64PSIMC4RM,33178,Supervisor Approval,Upgrade Failure,20,GSM
TRACFONE,New,TFZEZ899VCPSP,TF256PSIMV9RM,33178,Supervisor Approval,Redemption Failure,15,GSM
TRACFONE,New,TFZEZ719DGFDP5,TF128PSIMT5N,33178,Reference Esn,Retailer Exchange,15,GSM
TRACFONE,New,TFZEZ719DCPRS,TF256PSIMV9N,33178,Supervisor Approval,Warehouse exchange - Past due,20,CDMA
TRACFONE,New,TFZEZ558VCPDU,TF256PSIMV9N,33178,Supervisor Approval,Warehouse exchange - Past due,20,CDMA
TRACFONE,New,TFLML413DGFDP4,TF128PSIMC4N,33178,Reference Esn,Retailer Exchange,15,GSM
TRACFONE,New,TFLML413DCR,TF256PSIMV9N,33178,Supervisor Approval,Warehouse exchange - Past due,20,CDMA
TRACFONE,New,TFZEZ610DGP4DU,TF128PSIMC4N,33178,Reference Esn,Retailer Exchange,15,GSM
TRACFONE,New,TFZEZ610DCP,TF256PSIMV9N,33178,Supervisor Approval,Warehouse exchange - Past due,20,CDMA
TELCEL,New,TCSAS275G3P5,TF64SIMT5,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,GSM
TELCEL,New,TCZEZ716BGP5P,TF128PSIMT5RM,33178,Supervisor Approval,Redemption Failure,30,GSM
TELCEL,New,TCZEZ962BGP5,TF128PSIMT5N,33178,Reference Esn,Activation/Reactivation Failure,20,GSM
TELCEL,New,TCALA621BGP5DG,TF128PSIMT5RM,33178,Supervisor Approval,Redemption Failure,20,GSM
TELCEL,New,TCHUH867G3P4,TF64PSIMT5,33178,Supervisor Approval,Upgrade Failure,20,GSM
TELCEL,New,PHTC128PSIMT5TDP,TF128PSIMT5TD,33178,Supervisor Approval,Upgrade Failure,20,GSM
TELCEL,New,PHTC128PSIMT5TDP,TF128PSIMT5TD,33178,Supervisor Approval,Upgrade Failure,20,GSM
WFM,New,WFMLGL57BGP,WFM128PSIMT5TM,33178,Supervisor Approval,Upgrade Failure,20,GSM
WFM,New,WFMZEZ557BGWHP5,WA128PSIMT5N,33178,Supervisor Approval,Redemption Failure,10,GSM
WFM,New,WFMZEZ557BGWHP,WA128PSIMT5N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,GSM
WFM,New,WFMAPI8G64GDR5,WA128PSIMT5N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,GSM
WFM,New,WFMAPI8PG64GDP5,WA128PSIMT5N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,10,GSM
WFM,New,WFMLML413DGR5,WA128PSIMT5N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,GSM
WFM,New,WFMSAG965U1GR,WA128PSIMT5N,33178,Supervisor Approval,Redemption Failure,10,GSM
WFM,New,WFMSAG960U1GRCS5,WA128PSIMT5N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,GSM
WFM,New,WFMZEZ610DGR5,WA128PSIMT5N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,GSM
