Status,Part Number,SIM,Zip,PIN,Cell Tech,Brand,# Devices,Child1,ChildSim1,Child2,ChildSim2,Child3,ChildSim3,Redemption For?,PIN2,Redemption Count
New,TWAPI8PC64GD,TF256PSIMV9N,33178,TWAPP00060,CDMA,TOTAL_WIRELESS,,,,,,,,,TWAPP00110,
New,TWZEZ558VCPDG,TF256PSIMV9N,33178,TWAPP00035,CDMA,TOTAL_WIRELESS,,,,,,,,,TWAPP00085,
New,TWAPIXC64SV2R.2,TF256PSIMV9N,33178,TWAPP00060,CDMA,TOTAL_WIRELESS,,,,,,,,,TWAPP00110,
New,TWLML413DCP,TF256PSIMV9N,33178,TWAPP00035,CDMA,TOTAL_WIRELESS,,,,,,,,,TWAPP00085,
New,TWSAG965U1C,TF256PSIMV9N,33178,TWAPP00035,CDMA,TOTAL_WIRELESS,,,,,,,,,TWAPP00085,
New,TWSAG960U1C2R,TF256PSIMV9N,33178,TWAPP00060,CDMA,TOTAL_WIRELESS,,,,,,,,,TWAPP00110,
New,TWZEZ610DCDG,TF256PSIMV9N,33178,TWAPP00035,CDMA,TOTAL_WIRELESS,,,,,,,,,TWAPP00085,
New,STZEZ558VCWHP,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STAPIXC64GY2R.2,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STALA571VCPWP,TF128PSIMC4N,33178,STAPP20055,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STSAG955UC2R,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STSAG950UCGYRCS,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045SA,
New,STCPOAI5SCP,TF256PSIMV9N,33178,NTAPPMP000451Y,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045TR,
New,STLG221CP,,33178,NTAPPMP00045SA,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045SA,
New,STUXU671CWHP,,33178,NTNMP00045,CDMA,STRAIGHT_TALK,,,,,,,,,NTNMP00045,
New,STLGL157BGWHP7,TF128PSIMCL7N,692,STAPP20055,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STZEZ899VCP,TF256PSIMV9RM,33178,NTAPPMP00060ILD,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045,
New,STZEZ719DGRCS4,TF128PSIMC4N,33178,STAPP20055,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045TR,
New,STZEZ719DGRCS5,TF128PSIMT5N,33178,NTAPPMP000451Y,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045SA,
New,STZEZ719DGRCS7,TF128PSIMCL7N,692,NTAPPMP00060ILD,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STZEZ719DCP,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045,
New,STSAN950U1G2R4,TF128PSIMC4N,33178,STAPP20055,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045TR,
New,STSAN950U1G2R5,TF128PSIMT5N,33178,NTAPPMP000451Y,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045SA,
New,STSAN950U1G2R7,TF128PSIMCL7N,692,NTAPPMP00060ILD,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STSAN950U1CRCS,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045,
New,STAPI8G64GYP,TF128PSIMC4N,33178,STAPP20055,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045TR,
New,STAPI8C64GY2R.2,TF256PSIMV9N,33178,NTAPPMP000451Y,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045SA,
New,STAPI8PG64SV,TF128PSIMC4N,33178,NTAPPMP00060ILD,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STAPI8PC64SVR.2,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045,
New,STZEZ557BG2R5,TF128PSIMC4N,33178,STAPP20055,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STZEZ557BG2R7,TF128PSIMT5N,33178,STAPP20055,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045,
New,STLML413DGP,TF128PSIMC4N,33178,NTAPPMP00060ILD,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STLML413DC2R,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045,
New,STSAG965U1GP4P,TF128PSIMC4N,33178,NTAPPMP00060ILD,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045SA,
New,STSAG965U1CP,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STSAG960U1GP4P,TF128PSIMC4N,33178,STAPP20055,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045,
New,STSAG960U1CPWP,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,STZEZ610DG2R4,TF128PSIMC4N,33178,NTAPPMP00060ILD,GSM,STRAIGHT_TALK,,,,,,,,,NTAPPMP00045,
New,STZEZ610DC2R,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,,,NTAPPMP000451Y,
New,NTSAS975GP,TF64PSIMC4RM,33178,NTPU0065ILDS,GSM,NET10,,,,,,,,,NTPU0065ILDS,2
New,NTMTXT838C3P,TF256PSIMV9RM,33178,NTAPPU0065ILD,CDMA,NET10,,,,,,,,,NTAPPU0065ILD,
New,NTLGL62VCPSP,TF256PSIMV9N,33178,NTAPPU0065ILD,CDMA,NET10,,,,,,,,,NTAPPU0065ILD,
New,NTLGL81AGRCS4,TF128PSIMC4N,33178,NTAPPU0065ILD,GSM,NET10,,,,,,,,,NTAPPU0065ILD,
New,NTHUH1511DGSVP5AS,TF128PSIMT5N,33178,NTAPP60080ILDUP,GSM,NET10,,,,,,,,,NTAPP6U040,
New,NTLG238CU,,33178,NTAPP6U035,CDMA,NET10,,,,,,,,,NTAPPU0065ILD,
New,PHNT128PSIMC4DD,TF128PSIMC4DD,33178,NTAPPMB6010,GSM,NET10,,,,,,,,,NTAPPMB6030,
New,PHNT128PSIMC4ND,TF128PSIMC4ND,33178,NTAPPMB6020,GSM,NET10,,,,,,,,,NTAPPMB6050,
New,NTZEZ836BGP7,TF128PSIMCL7N,692,NTAPP6U040,GSM,NET10,,,,,,,,,NTAPPU0065ILD,
New,NTZEZ837VCPWP,TF256PSIMV9N,33178,NTAPPU0001,CDMA,NET10,,,,,,,,,NTAPP60070ILDUP,
New,NTZEZ798BGWHP4,TF128PSIMC4RM,33178,NTAPP60060ILDUP,GSM,NET10,,,,,,,,,NTAPPU0065ILD,
New,TCMTEX431GR5V2,TF64SIMT5,33178,TCAPP00029ILD,GSM,TELCEL,,,,,,,,,TCAPP00029ILD,
New,TCZEZ962BGRCS5,TF128PSIMT5N,33178,TCAPP00029ILD,GSM,TELCEL,,,,,,,,,TCAPP00029ILD,
New,PHTC128PSIMT5TDP,TF128PSIMT5TD,33178,TCAPP00045ILD,GSM,TELCEL,,,,,,,,,TCAPP00035ILD,1
New,PHTC128PSIMT5TDP,TF128PSIMT5TD,33178,TCAPP00060ILD,GSM,TELCEL,,,,,,,,,TCAPP00029ILD,1
New,TFLGL38CTMPSOP,,33178,TSAPP40300,CDMA,TRACFONE,,,,,,,,,TSAPP40300,2
New,PHTF128PSIMC4N,TF128PSIMC4ND,33178,TFN00450,GSM,TRACFONE,,,,,,,,,TN50020D,1
New,TFZEZ660GWHP5,TF128PSIMT5RM,33178,TSAPP4001Y,GSM,TRACFONE,,,,,,,,,TSAPP40060,
New,TFLG442BGDMP4,TF128SIMC4,33178,TSAPP4001Y,GSM,TRACFONE,,,,,,,,,TSAPP4001Y,
New,TFSAS935DGSVRCS4,TF128PSIMC4N,33178,TSAPP40450,GSM,TRACFONE,,,,,,,,,TSAPP402000,
New,TFLGL157BGFDP5,TF128PSIMT5N,33178,TFSAPP1SPH750,GSM,TRACFONE,,,,,,,,,TSAPP40120,
New,TFZEZ899VCPDU,TF256PSIMV9RM,33178,TFSAPP1SPH500,CDMA,TRACFONE,,,,,,,,,TSAPP40060,
New,TFZEZ719DG3P4,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,TRACFONE,,,,,,,,,TFSAPP1SPH500,
New,TFZEZ719DC3P,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,TRACFONE,,,,,,,,,TSAPP40120,
New,TFZEZ558VCPDG,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,TRACFONE,,,,,,,,,TSAPP40120,
New,TFLML413DGFDP4,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,TRACFONE,,,,,,,,,TFSAPP1SPH500,
New,TFLML413DCWHP,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,TRACFONE,,,,,,,,,TSAPP40120,
New,TFZEZ610DGP4,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,TRACFONE,,,,,,,,,TFSAPP1SPH500,
New,TFZEZ610DCPET2,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,TRACFONE,,,,,,,,,TSAPP40120,
