Brand,PartNumber,SIM,PIN,CellTech,Child#,Child_Esn,Child_Sim,Child_Pin
WFM,WFMZEZ610DGWHP,WA128PSIMT5N,WFMAPPU0039,GSM,1,WFMZEZ610DGWHP,WA128PSIMT5N,WFMAPPU0039
WFM,WFMZEZ610DGWHP5,WA128PSIMT5N,WFMAPPU0024,GSM,1,WFMZEZ610DGWHP5,WA128PSIMT5N,WFMAPPU0024
WFM,WFMZEZ610DGR,WA128PSIMT5N,WFMAPPU0049,GSM,1,WFMZEZ610DGR,WA128PSIMT5N,WFMAPPU0049
WFM,WFMZEZ610DGR5,WA128PSIMT5N,WFMAPPU0029,GSM,1,WFMZEZ610DGR5,WA128PSIMT5N,WFMAPPU0029
WFM,WFMZEZ610DGRCS,WA128PSIMT5N,WFMAPPU0039,GSM,1,WFMZEZ610DGRCS,WA128PSIMT5N,WFMAPPU0039
WFM,WFMZEZ610DGRCS5,WA128PSIMT5N,WFMAPPU0029,GSM,1,WFMZEZ610DGRCS5,WA128PSIMT5N,WFMAPPU0029
SIMPLE_MOBILE,PHSM64PSIMT5MB,SM64PSIMT5B,SMNAPP0040UNL,GSM,1,SMZEZ828TG3P5,SM128PSIMT5N,SMNAPP0040UNL
SIMPLE_MOBILE,SMZEZ557BGR,SM128PSIMT5N,SMNAPP0050BBUNL,GSM,0,SMHUH715BG3P5,SM128PSIMT5N,SM_RANDOM
SIMPLE_MOBILE,PHSM64PSIMT5BLC,SM64PSIMT5B,SMNAPP40030ILD,GSM,2,SMZEZ861BGP5SP,SM128PSIMT5N,SM_RANDOM
SIMPLE_MOBILE,SMZEZ557BGR,SM128PSIMT5N,SMNAPP30060,GSM,3,PHSM64PSIMT5BLC,SM64PSIMT5B,SM_RANDOM
SIMPLE_MOBILE,SMZEZ861BGRCS5,SM128PSIMT5N,SMNAPP20050ILDUP,GSM,4,SMAPI8G64SVR5,SM128PSIMT5N,SM_RANDOM
SIMPLE_MOBILE,SMZEZ718TGP5P,SM128PSIMT5RM,SMNAPP0050BBUNL,GSM,3,SMZEZ718TGP5P,SM128PSIMT5RM,SM_RANDOM

