Part Number,SIM,Airtime Card,Card Type,Zip Code,Phone Type,Reoccuring?,# ILD,action,Status,Tech,Pin type,Pin for part
NTZEZ753GP4SOP,TF64PSIMT5RM,Unlimited International Monthly,Visa,33178,Android,Reoccuring,1,later,New,GSM,Megacard,NTAPP6U040
NT256PBYOPD,TF256PSIMV9DD,Unlimited International Monthly,Visa,33178,Android,Reoccuring,0,later,New,CDMA,Megacard,NTAPP6U060
NTALA851GP4RS,TF64PSIMC4RM,Unlimited International Monthly,Discover,33178,Android,One-Time,0,later,New,GSM,Megacard,NTAPP6U060
NTLGL25CU,TF128PSIMS8M,Unlimited International Monthly,Discover,33178,Android,One-Time,0,later,New,GSM,Megacard,NTAPPU0065ILD
NTAPI5CG16BL,TF128PSIMC4N,Unlimited International Monthly,Visa,33178,Non-Android,One-Time,0,later,New,GSM,Megacard,NTAPPU0065ILD
NTZEZ837VC3P,TF256PSIMV9N,Unlimited $35,Visa,33178,Android,Reoccuring,1,now,New,CDMA,Megacard,NTAPP6U035
NTLGL64VC3P,TF256PSIMV9N,Unlimited $40,Visa,33178,Android,Reoccuring,1,now,New,CDMA,Megacard,NTAPP6U040
NTZEZ836BG3P4,TF128PSIMC4N,Unlimited $40,Visa,33178,Android,One-Time,1,now,New,GSM,Megacard,NTAPPU0001
NTZEZ836BGFDP5,TF128PSIMT5N,Unlimited $35,Visa,33178,Android,One-Time,1,now,New,GSM,Megacard,NTAPP60060ILDUP
NTZEZ836BGP7,TF128PSIMCL7N,Unlimited $35,Visa,33178,Android,Reoccuring,1,now,New,GSM,Megacard,NTAPP6U060
NTZEZ798BGFDP4,TF128PSIMC4RM,Unlimited $35,Visa,33178,Android,One-Time,1,now,New,GSM,Megacard,NTAPPU0065ILD
NTZEZ798BG3P5,TF128PSIMT5RM,Unlimited $35,Visa,33178,Android,One-Time,1,now,New,GSM,Megacard,NTAPP60070ILDUP
