Part Number,SimNumber,Zip Code,Plan,Other Part,ChildSim,# Devices,Reoccuring?,Card Type,Plan 2,Reoccuring? 2,Queued?
TWLGLRS988VCP,TF256PSIMV9N,33178,TW 3 Line 12 GB,TWALA564CP,,2,Reoccuring,Visa,TW 3 Line 12 GB,One-Time,Now
TWHUH1511DCP,TF256PSIMV9N,33178,TW 2 Line 8 GB,TWAPI6SPC16GDP,TF256PSIMV9N,2,One-Time,Discover,TW 3 Line 12 GB,One-Time,Now
TWAPISEC16SVR,TF256PSIMV9N,33178,TW 3 Line 12 GB,TWALA564CP,,2,Reoccuring,Visa,TW 3 Line 12 GB,One-Time,Queued
TWALA571VC,TF256PSIMV9RM,33178,TW 2 Line 8 GB,TWAPI6SPC16GDP,TF256PSIMV9N,2,One-Time,Discover,TW 2 Line 8 GB,One-Time,Queued
TWAPI6C16SVP,TF256PSIMV9N,33178,TW 3 Line 12 GB,,,1,Reoccuring,Visa,TW 3 Line 12 GB,One-Time,Queued
TWAPI6PC16SVP,TF256PSIMV9N,33178,TW 2 Line 8 GB,TWAPI6SPC16GDP,TF256PSIMV9N,2,One-Time,Discover,TW 3 Line 12 GB,One-Time,Queued
TWSAG930VCR,TF256PSIMV9N,33178,TW 3 Line 12 GB,,,1,Reoccuring,Visa,TW 3 Line 12 GB,One-Time,Queued
TWAPI5SC16SVR,TF256PSIMV9N,33178,TW 2 Line 8 GB,TWAPI6SPC16GDP,TF256PSIMV9N,2,One-Time,Discover,TW 3 Line 12 GB,One-Time,Queued
TWLGL44VCR,TF256PSIMV9N,33178,TW 3 Line 12 GB,TWALA564CP,,2,Reoccuring,Visa,TW 3 Line 12 GB,One-Time,Queued
TWSAS906CP,TF256PSIMV9N,33178,TW 2 Line 8 GB,TWAPI6SPC16GDP,TF256PSIMV9N,2,One-Time,Discover,TW 3 Line 12 GB,Reoccuring,Queued
TWAPI6SPC16SVP,TF256PSIMV9N,33178,TW 3 Line 12 GB,TWSAS968C,,3,Reoccuring,Discover,TW 4 Line 15 GB,One-Time,Queued
TWAPI6SPC16RGP,TF256PSIMV9N,33178,TW 3 Line 12 GB,TWUXU240C,,2,Reoccuring,Discover,TW 4 Line 15 GB,One-Time,Now
TWALA462CR,,33178,TW 3 Line 12 GB,TWALA564CP,,2,Reoccuring,Visa,TW 3 Line 12 GB,One-Time,Now
TW3GCPOADROICP,,33178,TW 1 Line No Data,,,1,Reoccuring,Visa,TW 3 Line 12 GB,One-Time,Now
TWZEZ752CP,,33178,TW 1 Line 5 GB,,,1,Reoccuring,Discover,TW 3 Line 12 GB,One-Time,Now
TWZEZ793CP,,33178,TW 1 Line No Data,,,1,Reoccuring,Visa,TW 3 Line 12 GB,One-Time,Now
TWUXU671C,,33178,TW 1 Line No Data,,,1,Reoccuring,Visa,TW 3 Line 12 GB,One-Time,Now
TWALA564CPWP,,33178,TW 1 Line 5 GB,,,1,One-Time,Visa,TW 3 Line 12 GB,One-Time,Now
TWUXU240C,,33178,TW 2 Line 8 GB,TWUXU671C,,2,One-Time,Visa,TW 3 Line 12 GB,One-Time,Now
TWALA564CP,,33178,TW 2 Line 8 GB,TWALA564CP,,2,One-Time,Discover,TW 3 Line 12 GB,One-Time,Queued
TWZEZ837VC3P,TF256PSIMV9N,33178,TW 2 Line 8 GB,,,1,One-Time,Visa,TW 3 Line 7.5 GB,One-Time,Now
TWLGL64VC3P,TF256PSIMV9N,33178,TW 2 Line 8 GB,TWALA571VC,TF256PSIMV9RM,2,One-Time,Discover,TW 2 Line 8 GB,One-Time,Queued
