Part Number,SimNumber,Zip Code,Plan,Other Part,ChildSim,# Devices,Reoccuring?,Card Type,PIN,Queued?
TWLGL62VC,TF256PSIMV9N,33178,TW 3 Line 12 GB,TWSAS906CWHP,TF256PSIMV9N,2,Reoccuring,Visa,TWN00110,Now
TWZEZ819CP,TF256PSIMV9RM,33178,TW 3 Line 12 GB,TWSAS906CWHP,TF256PSIMV9N,2,One-Time,Visa,TWN00110,Queued
TWLGL52VCWHP,TF256PSIMV9N,33178,TW 2 Line 8 GB,,,1,Reoccuring,Visa,TWN00025,Now
TWSAS906CWHP,TF256PSIMV9N,33178,TW 3 Line 12 GB,TWSAS766CPWP,,2,Reoccuring,Visa,TWN00110,Now
TWAPI6SPC16RGX,TF256PSIMV9N,33178,TW 3 Line 12 GB,TWSAS906CWHP,TF256PSIMV9N,2,Reoccuring,Visa,TWN00110,Now
TWALA394CP,,33178,TW 2 Line 8 GB,TWUXU671C,,2,One-Time,Visa,TWN00060,Queued
TWLG109CR,,33178,TW 1 Line No Data,,,1,One-Time,Visa,TWN00025,Queued
TWLGL16CP,,33178,TW 2 Line 8 GB,,,1,Reoccuring,Visa,TWN00110,Queued
TWLGL22CWHP,,33178,TW 1 Line No Data,,,1,One-Time,Visa,TWN00025,Queued
TWSAS777CWHP,,33178,TW 3 Line 12 GB,TWLG236C,,2,Reoccuring,Visa,TWN00110,Queued
TWLGL39CP,,33178,TW 2 Line 8 GB,TWUXU671C,,2,Reoccuring,Visa,TWN00110,Queued
TWUXU671C,,33178,TW 1 Line No Data,,,1,Reoccuring,Visa,TWN00025,Queued
TWALA564CPWP,,33178,TW 3 Line 12 GB,,,1,Reoccuring,Visa,TWP00085,Queued
TWUXU240C,,33178,TW 2 Line 8 GB,TWUXU671C,,2,One-Time,Visa,TWN00060,Queued
TWZEZ837VCP,TF256PSIMV9N,33178,TW 3 Line 12 GB,,,1,Reoccuring,Visa,TWAPP00060,Now
TWLGL64VCP,TF256PSIMV9N,33178,TW 2 Line 8 GB,TWAPP00035,,2,One-Time,Visa,TWAPP00085,Queued
