Part Number,SIM,Source Brand,Old Part,Card,Promo,CardType
TFALA206GRCS,TF128SIMT5RM,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,FALSE,Visa
TFZEZ837VCPSP,TF256PSIMV9N,TELCEL_AMERICA,TCLG236C,200 Minutes,FALSE,American Express
TFLGL64VCPDG,TF256PSIMV9N,STRAIGHT_TALK,STZEZ752CPWP,450 Minutes,TRUE,Visa
TFZEZ836BGP4DU,TF128PSIMC4N,TELCEL_AMERICA,TCLG236C,120 Minutes,FALSE,American Express
TFZEZ836BGP5DU,TF128PSIMT5N,NET10,NTLGL25CPDG,500 Minutes,TRUE,Discover
TFZEZ836BG,TF128PSIMCL7N,STRAIGHT_TALK,STZEZ752CPWP,750 Minutes,TRUE,Visa
TFZEZ798BGP4DU,TF128PSIMC4RM,TELCEL_AMERICA,TCLG236C,450 Minutes,FALSE,American Express
TFZEZ798BGP5DU,TF128PSIMT5RM,STRAIGHT_TALK,STLG236CP,450 Minutes,TRUE,Discover
TFZEZ798BG,TF128PSIMCL7RM,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,FALSE,Visa
TFLGL59BGWHP5,TF128PSIMC4N,STRAIGHT_TALK,STZEZ752CPWP,450 Minutes,TRUE,Visa
TFLGL59BGR,TF128PSIMT5N,TELCEL_AMERICA,TCLG236C,120 Minutes,FALSE,American Express
TFLGL59BGR4,TF128PSIMCL7N,NET10,NTLGL25CPDG,500 Minutes,TRUE,Discover
TFLGL63BGWHP5,TF128PSIMC4N,STRAIGHT_TALK,STZEZ752CPWP,750 Minutes,TRUE,Visa
TFLGL63BGR,TF128PSIMT5N,TELCEL_AMERICA,TCLG236C,450 Minutes,FALSE,American Express
TFLGL63BGR4,TF128PSIMCL7N,STRAIGHT_TALK,STLG236CP,450 Minutes,TRUE,Discover
TFZEZ799VCPDU,TF256PSIMV9RM,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,FALSE,Visa
