Part Number,SIM,PIN,Zip Code,Cell Tech,Plan,Add ILD,Card,Promo
TFLGL44VC,TF256PSIMV9N,TFN00060,33178,CDMA,450 Minutes,0,Discover,TRUE
TFZEZ955G3P5,TF128PSIMT5RM,TFSAPP1SPH090,33178,GSM,450 Minutes,0,Discover,FALSE
TFALA450TG3P5,TF128PSIMT5RM,TFSAPP1SPH1500,33178,GSM,120 Minutes,0,Visa,TRUE
TFLGL17AGP4,TF128PSIMC4RM,TFSAPP1SPH200,33178,GSM,300 Minutes,0,American Express,TRUE
TFZEZ753GP5DG,TF128PSIMT5RM,TFSAPP1SPH500,33178,GSM,200 Minutes,0,Visa,FALSE
TFZEZ660GP5-5,TF128PSIMT5RM,TFSAPP1SPH750,33178,GSM,300 Minutes,1,Visa,TRUE
TFALA460GR5,TF128PSIMT5RM,TFN0001Y,33178,GSM,450 Minutes,0,Discover,TRUE
TFZEZ955GWHP,TF128PSIMC4RM,TFN00060,33178,GSM,90 Minutes,1,Visa,TRUE
TFALA463BGP4RS,TF64PSIMC4RM,TFSAPP1SPH090,33178,GSM,200 Minutes,0,Visa,TRUE
TFSAS820C3PWP,TF256PSIMV9RM,TFSAPP1SPH1500,33178,CDMA,450 Minutes,0,Discover,FALSE
TFLGL15G3P4,TF64PSIMC4RM,TFSAPP1SPH200,33178,GSM,200 Minutes,0,Visa,TRUE
TFZEZ837VCPRS,TF256PSIMV9N,TFSAPP1SPH750,33178,CDMA,200 Minutes,0,Visa,TRUE
TFLGL64VCPAS,TF256PSIMV9N,TFN0001Y,33178,CDMA,300 Minutes,0,Visa,FALSE
TFZEZ836BGP4P,TF128PSIMC4N,TFN00060,33178,GSM,450 Minutes,0,Visa,TRUE
TFZEZ836BGP5P,TF128PSIMT5N,TFSAPP1SPH090,33178,GSM,90 Minutes,0,Visa,FALSE
TFZEZ836BG,TF128PSIMCL7N,TFSAPP1SPH1500,33178,GSM,200 Minutes,0,Visa,TRUE
TFZEZ798BGP4P,TF128PSIMC4RM,TFSAPP1SPH200,33178,GSM,450 Minutes,0,Visa,FALSE
TFZEZ798BGP5P,TF128PSIMT5RM,TFSAPP1SPH500,33178,GSM,200 Minutes,0,Visa,TRUE
TFZEZ798BG,TF128PSIMCL7RM,TFSAPP1SPH750,33178,GSM,500 Minutes,0,Visa,FALSE
TFLGL59BGP4AP2,TF128PSIMC4N,TFN0001Y,33178,GSM,300 Minutes,0,Visa,FALSE
TFLGL59BGP4AP3,TF128PSIMT5N,TFN00060,33178,GSM,450 Minutes,0,Visa,TRUE
TFLGL59BGP5AP,TF128PSIMCL7N,TFSAPP1SPH090,00692,GSM,90 Minutes,0,Visa,FALSE
TFLGL63BGP4AP2,TF128PSIMC4N,TFSAPP1SPH1500,33178,GSM,200 Minutes,0,Visa,TRUE
TFLGL63BGP4AP3,TF128PSIMT5N,TFSAPP1SPH200,33178,GSM,450 Minutes,0,Visa,FALSE
TFLGL63BGP5AP,TF128PSIMCL7N,TFSAPP1SPH500,00692,GSM,200 Minutes,0,Visa,TRUE
TFZEZ799VCPDG,TF256PSIMV9RM,TFSAPP1SPH750,33178,CDMA,500 Minutes,0,Visa,FALSE
PHTF128PSIMC4N,TF128PSIMC4ND,TFSAPP1SPH500,33178,GSM,500 Minutes,0,Visa,FALSE
