PartNumber,SimNumber,ZipCode,Card,Cardtype,CellType,Promo,Status,Reoccuring?
TFZEZ716BGRCS,TF128PSIMC4RM,33178,750 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFLGL52VCDG,TF256PSIMV9N,33178,200 Minutes,Visa,CDMA,TRUE,New,One-Time
TFLGL43AGP4DU,TF128PSIMC4N,33178,200 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFLG329GDMP5DG,TF64SIMCL7,00692,500 Minutes,Visa,GSM,TRUE,New,One-Time
TFALA450TG3P5P,TF128PSIMT5RM,33178,120 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFLGL17AGDG,TF128PSIMC4RM,33178,500 Minutes,Visa,GSM,TRUE,New,One-Time
TFZEZ667GP5,TF128PSIMT5RM,33178,120 Minutes,Visa,GSM,TRUE,New,Reoccuring
TFALA460G3P5,TF128PSIMT5RM,33178,450 Minutes,Visa,GSM,FALSE,New,One-Time
TFZEZ955GP4SP,TF64PSIMT5RM,33178,120 Minutes,Visa,GSM,TRUE,New,Reoccuring
TF3GCPOAI5SGP5,TF128PSIMT5N,33178,450 Minutes,Visa,GSM,TRUE,New,One-Time
PHTF128PSIMC4N,TF128PSIMC4ND,33178,120 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFZEZ791GP4AS,TF64PSIMC4RM,33178,450 Minutes,Visa,GSM,TRUE,New,One-Time
TFLGL81AGDG,TF128PSIMC4N,33178,1500 Minutes,Visa,GSM,TRUE,New,Reoccuring
TFLGL22CPDU,,33178,450 Minutes,Visa,CDMA,FALSE,New,One-Time
TFLCPOAGS4GP4,TF128PSIMC4RM,33178,120 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFZEZ837VCP,TF256PSIMV9N,33178,450 Minutes,Visa,CDMA,FALSE,New,One-Time
TFLGL64VCDG,TF256PSIMV9N,33178,120 Minutes,Visa,CDMA,FALSE,New,Reoccuring
TFZEZ836BGP4,TF128PSIMC4N,33178,450 Minutes,Visa,GSM,FALSE,New,One-Time
TFZEZ836BGP5,TF128PSIMT5N,33178,120 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFZEZ836BGP,TF128PSIMCL7N,33178,450 Minutes,Visa,GSM,FALSE,New,One-Time
TFZEZ798BGP4,TF128PSIMC4RM,33178,120 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFZEZ798BGP5,TF128PSIMT5RM,33178,450 Minutes,Visa,GSM,FALSE,New,One-Time
TFZEZ798BG,TF128PSIMCL7RM,33178,120 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFLGL59BGFDP4,TF128PSIMC4N,33178,120 Minutes,Visa,GSM,FALSE,New,One-Time
TFLGL59BG3P5,TF128PSIMT5N,33178,450 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFLGL59BGFDP5,TF128PSIMCL7N,00692,120 Minutes,Visa,GSM,FALSE,New,One-Time
TFLGL63BGFDP4,TF128PSIMC4N,33178,450 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFLGL63BG3P5,TF128PSIMT5N,33178,120 Minutes,Visa,GSM,FALSE,New,One-Time
TFLGL63BGFDP5,TF128PSIMCL7N,00692,450 Minutes,Visa,GSM,FALSE,New,Reoccuring
TFZEZ799VCP,TF256PSIMV9RM,33178,120 Minutes,Visa,CDMA,FALSE,New,Reoccuring
