Part Number,Sim Card,Zip Code,Pin Card,Cell Tech,Purchase Type,Card Type
TFLGL17AGR4,TF128PSIMC4RM,33178,TFSAPP1SPH090,GSM,One Time Purchase,Discover
TFSAS902CPDG,TF256PSIMV9RM,33178,TFSAPP1SPH1500,CDMA,One Time Purchase,Visa
TFZEZ753GP5P,TF128PSIMT5RM,33178,TFSAPP1SPH200,GSM,Enroll in Auto Refill,American Express
TFZEZ667GP5DG,TF128PSIMT5RM,33178,TFSAPP1SPH500,GSM,One Time Purchase,Discover
TFZEZ660GP5AS,TF128PSIMT5RM,33178,TFSAPP1SPH750,GSM,Enroll in Auto Refill,Visa
TFALA463BGP5-5,TF128PSIMT5RM,33178,TFN0001Y,GSM,One Time Purchase,Visa
TFALA460G3P5,TF128PSIMT5RM,33178,TFN00060,GSM,Enroll in Auto Refill,Visa
TFZEZ955GRCS4,TF128PSIMC4RM,33178,TSAPP40300,GSM,One Time Purchase,Visa
TFALA460GP4SP,TF64PSIMC4RM,33178,TFSAPP1SPH090,GSM,Enroll in Auto Refill,Visa
TFZEZ837VCP-5,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,One Time Purchase,Visa
TFLGL64VCFDP,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,Enroll in Auto Refill,American Express
TFZEZ836BGP4AS,TF128PSIMC4N,33178,TFSAPP1SPH500,GSM,One Time Purchase,Discover
TFZEZ836BGP5AS,TF128PSIMT5N,33178,TFSAPP1SPH750,GSM,Enroll in Auto Refill,Visa
TFZEZ836BG,TF128PSIMCL7N,33178,TFN0001Y,GSM,One Time Purchase,Visa
TFZEZ798BGP4AS,TF128PSIMC4RM,33178,TFN00060,GSM,Enroll in Auto Refill,Visa
TFZEZ798BGP5AS,TF128PSIMT5RM,33178,TSAPP40300,GSM,One Time Purchase,Visa
TFZEZ798BG,TF128PSIMCL7RM,33178,TFSAPP1SPH090,GSM,Enroll in Auto Refill,Visa
TFLGL59BGP4-5,TF128PSIMC4N,33178,TFSAPP1SPH1500,GSM,Enroll in Auto Refill,American Express
TFLGL59BGP5-5,TF128PSIMT5N,33178,TFSAPP1SPH200,GSM,One Time Purchase,Discover
TFLGL59BGP4AS,TF128PSIMCL7N,00692,TFSAPP1SPH500,GSM,Enroll in Auto Refill,Visa
TFLGL63BGP4-5,TF128PSIMC4N,33178,TFSAPP1SPH750,GSM,One Time Purchase,Visa
TFLGL63BGP5-5,TF128PSIMT5N,33178,TFN0001Y,GSM,Enroll in Auto Refill,Visa
TFLGL63BGP4AS,TF128PSIMCL7N,00692,TFN00060,GSM,One Time Purchase,Visa
TFZEZ799VC3P,TF256PSIMV9RM,33178,TSAPP40300,CDMA,Enroll in Auto Refill,Visa
