Part Number,Sim Card,Zip Code,Pin Card,Cell Tech,Zip Code1
TFLGL81AG3P4P,TF128PSIMC4N,33178,TFN0001Y,GSM,33178
TFLGL62VCPWP,TF256PSIMV9N,33178,TFN00060,CDMA,33178
TFLGL61AGWHP4,TF128PSIMC4N,33178,TFSAPP1SPH090,GSM,33178
TFLGL51AGP4P,TF128PSIMC4N,33178,TFSAPP1SPH1500,GSM,33178
TFLGL44VC3P,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,33178
TFLGL17AGRCS,TF128PSIMC4RM,33178,TFSAPP1SPH500,GSM,33178
TFZEZ667GRCS5,TF128PSIMT5RM,33178,TFN0001Y,GSM,33178
TFALA460GP5,TF128PSIMT5RM,33178,TFN00060,GSM,33178
TFALA463BGP4SP,TF64PSIMC4RM,33178,TFN0001Y,GSM,33178
TFLCPOAI5SGP5,TF128PSIMT5N,33178,TFSAPP1SPH1500,GSM,33178
TFLCPOAMOTXCP,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,33178
TFZEZ753GP4P,TF64PSIMC4RM,33178,TFSAPP1SPH500,GSM,33178
TFLGL16CPTGP,,33178,TFSAPP1SPH750,CDMA,33178
TFLGL22CPRS,,33178,TFN0001Y,CDMA,33178
TFLG237CDMPRS,,33178,TFN00060,CDMA,33178
TFLG305CDG,,33178,TFSAPP1SPH090,CDMA,33178
TFZEZ837VCPAS,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,33178
TFLGL64VCP-5,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,33178
TFZEZ836BGP4DG,TF128PSIMC4N,33178,TFSAPP1SPH500,GSM,33178
TFZEZ836BGP5DG,TF128PSIMT5N,33178,TFSAPP1SPH750,GSM,33178
TFZEZ836BG,TF128PSIMCL7N,33178,TFN0001Y,GSM,33178
TFZEZ798BGP4DG,TF128PSIMC4RM,33178,TFN00060,GSM,33178
TFZEZ798BGP5DG,TF128PSIMT5RM,33178,TFSAPP1SPH090,GSM,33178
TFZEZ798BG,TF128PSIMCL7RM,33178,TFSAPP1SPH1500,GSM,33178
TFLGL59BGP5ET,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,33178
TFLGL59BGP5ET2,TF128PSIMT5N,33178,TFSAPP1SPH500,GSM,33178
TFLGL63BGP5ET,TF128PSIMC4N,33178,TFN0001Y,GSM,33178
TFLGL63BGP5ET2,TF128PSIMT5N,33178,TFN00060,GSM,33178
TFLGL63BGP5ET3,TF128PSIMCL7N,00692,TFSAPP1SPH090,GSM,00692
TFZEZ799VCPWP,TF256PSIMV9RM,33178,TFSAPP1SPH1500,CDMA,33178
