Part Number,Sim Card,Zip Code,Pin Card,Pin Card2,Pin Card3,Cell Tech,Card,Cardtype,Promo
TFZEZ818G3P4,TF128PSIMC4RM,33178,TFN0001Y,,,GSM,120 Minutes,American Express,TRUE
TF3GCPOAI5SGP5,TF128PSIMT5N,33178,TFN00060,,,GSM,120 Minutes,American Express,FALSE
TF3GCPOADROICP,,33178,TSAPP40300,,,CDMA,450 Minutes,American Express,TRUE
TFZEZ660GWHP4,TF64PSIMC4RM,33178,TFSAPP1SPH090,,,GSM,450 Minutes,American Express,TRUE
TFZEZ752CPRS,,33178,TFSAPP1SPH1500,,,CDMA,500 Minutes,American Express,FALSE
TFALA460GR4,TF64PSIMC4RM,33178,TFSAPP1SPH200,,,GSM,450 Minutes,American Express,TRUE
TFLGL22CPWP,,33178,TFSAPP1SPH500,,,CDMA,450 Minutes,American Express,FALSE
TFLGL64VCPRS,TF256PSIMV9N,33178,TFN0001Y,,,CDMA,120 Minutes,American Express,TRUE
TFZEZ836BG3P4P,TF128PSIMC4N,33178,TFN00060,,,GSM,120 Minutes,American Express,FALSE
TFZEZ836BG3P5P,TF128PSIMT5N,33178,TSAPP40300,,,GSM,450 Minutes,American Express,TRUE
TFZEZ836BG,TF128PSIMCL7N,33178,TFSAPP1SPH090,,,GSM,450 Minutes,American Express,TRUE
TFZEZ798BG3P4P,TF128PSIMC4RM,33178,TFSAPP1SPH1500,,,GSM,500 Minutes,American Express,FALSE
TFZEZ798BG3P5P,TF128PSIMT5RM,33178,TFSAPP1SPH200,,,GSM,450 Minutes,American Express,TRUE
TFZEZ798BG,TF128PSIMCL7RM,33178,TFSAPP1SPH500,,,GSM,450 Minutes,American Express,FALSE
TFLGL59BGFDP4,TF128PSIMC4N,33178,TFSAPP1SPH750,,,GSM,120 Minutes,American Express,TRUE
TFLGL59BG3P5,TF128PSIMT5N,33178,TSAPP40300,,,GSM,120 Minutes,American Express,FALSE
TFLGL59BGFDP5,TF128PSIMCL7N,00692,TFSAPP1SPH090,,,GSM,450 Minutes,American Express,TRUE
TFLGL63BGFDP4,TF128PSIMC4N,33178,TFSAPP1SPH1500,,,GSM,450 Minutes,American Express,TRUE
TFLGL63BG3P5,TF128PSIMT5N,33178,TFSAPP1SPH200,,,GSM,500 Minutes,American Express,FALSE
TFLGL63BGFDP5,TF128PSIMCL7N,00692,TFSAPP1SPH500,,,GSM,450 Minutes,American Express,TRUE
TFZEZ799VCPET,TF256PSIMV9RM,33178,TFSAPP1SPH750,,,CDMA,450 Minutes,American Express,FALSE
